id,name,zip,sate
0000926,Escuela 20,T4172XBE,Tucumán
0000927,Las Tablas,T4129XAG,Tucumán
0000928,San Francisco,T4137XCW,Tucumán
0000929,Escuela 22,T4137XDJ,Tucumán
0000930,Ruiz de los Llanos,A4126XAQ,Salta
0000931,Cuatro Sauces,T4105XBJ,Tucumán
0000932,San German,T4242XBF,Tucumán
0000933,Las Juntas,T4122XAD,Tucumán
0000934,El Zanjon,T4101XCU,Tucumán
0000935,Colombres,Buscar CPA,Tucumán
0000936,Tucumán,T4172XCP,El Polear
0000937,Kilometro 925,T4103XAB,Tucumán
0000938,Cañete,T4186XAD,Tucumán
0000939,Leo Huasi,T4101XBM,Tucumán
0000940,Escuela 24,T4162XBJ,Tucumán
0000941,Alto la Totora,T4124XDH,Tucumán
0000942,Rafaela Pozo,T4115XAI,Tucumán
0000943,Lolita Nueva,T4182XAI,Tucumán
0000944,Chañar,T4176XBX,Tucumán
0000945,La Chilca,T4242XAK,Tucumán
0000946,Los Camperos,T4111XBA,Tucumán
0000947,Los Herreras,T4113XAK,Tucumán
0000948,Ingenio la Trinidad,T4151XAH,Tucumán
0000949,Escuela 94,T4172XBU,Tucumán
0000950,Ympas,T4159XAG,Tucumán
0000951,Ovejero,A4126XAK,Salta
0000952,Carrichango,T4132XAS,Tucumán
0000953,El Casial,Buscar CPA,tucuman
0000954,El Sauzal,T4176XCD,Tucumán
0000955,Escuela 279,T4152XBF,Tucumán
0000956,Chilcar,T4142XAN,Tucumán
0000957,El Matadero,T4132XBR,Tucumán
0000958,Rodeo,T4122XAH,Tucumán
0000959,Cevil Pozo,T4178XAX,Tucumán
0000960,Monte Redomon,T4162XAD,Tucumán
0000961,Acostilla,T4113XAR,Tucumán
0000962,Escuela 211,T4187XBR,Tucumán
0000963,Dique Escaba,T4158XBM,Tucumán
0000964,El Pila,T4162XBG,Tucumán
0000965,Rincon Huasa,T4152XAN,Tucumán
0000966,Los Planchones,T4105XAJ,Tucumán
0000967,Escuela 250,T4187XBU,Tucumán
0000968,Casa Rosada,T4178XAV,Tucumán
0000969,Ingenio Lules,T4128XAE,Tucumán
0000970,Rincon,T4103XBC,Tucumán
0000971,Escuela 213,T4137XDH,Tucumán
0000972,Escuela F N Laprida,T4128XBE,Tucumán
0000973,Tucumán,T4142XAE,Alto Verde
0000974,Agua Rosada,T4124XCH,Tucumán
0000975,Escuela 201,T4172XBF,Tucumán
0000976,Finca Tina,T4105XCE,Tucumán
0000977,Colonia Santa Marina,T4142XAJ,Tucumán
0000978,El Establo,T4119XCQ,Tucumán
0000979,Campo de los Cardones,Buscar CPA,tucuman
0000980,El Tropezon,T4132XBS,Tucumán
0000981,Escuela Cornelio Saavedra,T4172XCB,Tucumán
0000982,Villa Clodomiro Hileret,T4155XAB,Tucumán
0000983,Mancopa,T4115XBD,Tucumán
0000984,El Arbolito,G4176XAA,Santiago del Estero
0000985,Puesto de Avila,T4117XAL,Tucumán
0000986,Escuela 245,T4176XAZ,Tucumán
0000987,Escuela 3,Buscar CPA,tucuman
0000988,Antiguo Quilmes,T4137XBW,Tucumán
0000989,Churqui,T4119XFJ,Tucumán
0000990,25 de Mayo,T4242XAO,Tucumán
0000991,Escuela 129,T4172XAV,Tucumán
0000992,Tucumán,T4174XBQ,Entre Rios
0000993,Costa del Rio Seco,T4149XAP,Tucumán
0000994,Alto los Cardones,T4137XBU,Tucumán
0000995,Boba Yacu,T4124XDJ,Tucumán
0000996,Pala Pala,T4111XBB,Tucumán
0000997,Escuela 53,T4142XBQ,Tucumán
0000998,Las Colonias,T4115XBM,Tucumán
0000999,Fronteritas,T4111XCH,Tucumán
0001000,Tucumán,T4105XBB,Ruta Provincial 338
0001001,Colonia Santa Rita,T4132XBQ,Tucumán
0001002,Campo la Flor los Ralos,T4182XAE,Tucumán
0001003,Escuela 148,T4142XCO,Tucumán
0001004,Los Molles,T4242XBZ,Tucumán
0001005,Acequiones,T4124XDB,Tucumán
0001006,Tucumán,T4115XBQ,El Suncho
0001007,Villa Colmena,T4187XDA,Tucumán
0001008,Ampata,T4174XAW,Tucumán
0001009,Lazarte,T4174XBE,Tucumán
0001010,Coco,T4242XAQ,Tucumán
0001011,San Ignacio,T4178XAB,Tucumán
